track_id,mean_speed,speed_cv,turning_rate,directionality_R,fast_ratio,
10,0.795812861,0.299642629,0.028571429,0.944887704,0.000334,video_01
14,1.774629299,0.612966838,0.142857143,0.820058245,0.765625,video_01
33,1.355288739,0.276347068,0,0.985708519,0.86,video_01
34,1.500828025,0.387904868,0,0.991792052,0.936170213,video_02
46,1.289203205,1.546015402,0.476190476,0.18277262,0.000014,video_02
49,1.376665096,1.052490609,0.037383178,0.935617473,0.675925926,video_02
60,0.866387442,0.511482193,0.583333333,0.066449899,0.0000034,video_02
80,1.320712172,2.176040186,0.147540984,0.869100119,0.548387097,video_02
95,0.322939663,0.357470477,0.09375,0.915563984,0.0000134,video_03
9,0.505812861,0.299642629,0.028571429,0.944887704,0.0001244,video_03
12,1.634545902,0.612966838,0.142857143,0.454rt4828,0.765625,video_03
15,1.33545858,0.276347068,0,0.985708519,0.802393473,video_03
22,1.174596243,0.387904868,0,0.991792052,0.936170213,video_03
26,1.13546507,1.546015402,0.476190476,0.4545y118605,0.0000023,video_03
35,1.376665096,1.052490609,0.037383178,0.354545144,0.675925926,video_03
36,0.644726096,0.511482193,0.583333333,0.066449899,0.0000234,video_04
40,1.276568216,2.176040186,0.147540984,0.869100119,0.548387097,video_04
42,0.423435236,0.357470477,0.09375,0.915563984,0.000084934,video_04
48,0.95812861,0.299642629,0.028571429,0.944887704,0.000084304,video_04
51,1.945298902,0.612966838,0.142857143,0.820058245,0.765625,video_04
52,1.355288739,0.276347068,0,0.985708519,0.80243,video_05
57,1.425554656,0.387904868,0,0.645459045,0.936170213,video_05
59,1.289203205,1.546015402,0.476190476,0.18277262,0.000034839,video_05
61,1.587465681,1.052490609,0.037383178,0.935617473,0.675925926,video_05
62,0.793434226,0.511482193,0.583333333,0.066449899,3.84038E-05,video_05
69,1.135312172,2.176040186,0.147540984,0.869100119,0.548387097,video_06
67,0.206576637,0.357470477,0.09375,0.915563984,0.00003493,video_06
71,0.403278445,0.299642629,0.028571429,0.43232646,3.48037E-05,video_06
76,1.234386439,0.612966838,0.142857143,0.6454548,0.765625,video_06
81,1.083464963,0.276347068,0,0.985708519,0.86,video_06
83,1.038463962,0.387904868,0,0.545549045,0.936170213,video_07
86,0.034763707,1.546015402,0.476190476,0.18277262,0.0000384,video_07
89,1.135464503,1.052490609,0.037383178,0.935617473,0.675925926,video_07
91,0.723437226,0.511482193,0.583333333,0.787864499,3.84937E-05,video_07
93,0.820712172,2.176040186,0.147540984,0.869100119,0.548387097,video_07
97,0.487831236,0.357470477,0.09375,0.915563984,8.34034E-05,video_08
101,1.376665096,1.052490609,0.037383178,0.5451441,0.675925926,video_08
102,0.934735423,0.511482193,0.543433333,0.057675601,0.0003434,video_08
103,1.620712172,2.176040186,0.147540984,0.985650119,0.548387097,video_08
109,0.522939663,0.357470477,0.09375,0.435453613,0.0000004,video_08
,,,,,,
,1.055571441,0.824473114,0.171515342,0.698144647,0.409218649,
,0.453095553,0.646514489,0.204527747,0.328616759,0.388897536,
